Vatanda_lık ülkesine göre Türkiye'ye gelen ve Türkiye'den giden göç, 2016-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Immigrants and emigrants by country of citizenship, 2016-2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[31 Aralık tarihi itibarıyla-As of 31 December];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Yıl
Year";"Vatanda_lık ülkesi
Country of citizenship";"Türkiye'ye gelen göç
Immigrants";;;;"Türkiye'den giden göç
Emigrants";;;"Net göç
Net migration";;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;"Toplam
Total";"Erkek
Male";"Kadın
Female";;"Toplam
Total";"Erkek
Male";"Kadın
Female";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;Toplam-Total; 739 364; 383 984; 355 380;; 287 651; 160 216; 127 435; 451 713;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Türk vatanda_ları
;Portekiz-Portugal;  110;  74;  36;;  116;  76;  40;-  6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Togo-Togo;  107;  87;  20;;  36;  31;  5;  71;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nijer-Niger;  106;  77;  29;;  41;  31;  10;  65;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Haiti-Haiti;  100;  68;  32;;  30;  22;  8;  70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Di_er ülkeler-Other countries; 2 264; 1 204; 1 060;; 1 354;  724;  630;  910;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vatansız-Stateless;  149;  89;  60;;  45;  28;  17;  104;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bilinmeyen-Unknown;  31;  20;  11;;  23;  15;  8;  8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;Toplam-Total; 577 457; 304 254; 273 203;; 323 918; 172 711; 151 207; 253 539;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Türk vatanda_ları
Turkish citizens"; 110 567; 64 899; 45 668;; 136 740; 78 874; 57 866;- 26 173;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yabancı uyruklular-Foreign nationals; 466 890; 239 355; 227 535;; 187 178; 93 837; 93 341; 279 712;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Irak-Iraq; 110 315; 57 394; 52 921;; 38 515; 21 238; 17 277; 71 800;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Afganistan-Afghanistan; 44 977; 26 531; 18 446;; 8 168; 5 119; 3 049; 36 809;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suriye-Syria; 38 997; 21 932; 17 065;; 5 913; 3 596; 2 317; 33 084;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Türkmenistan-Turkmenistan; 34 915; 16 862; 18 053;; 10 096; 4 431; 5 665; 24 819;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_ran-Iran; 31 922; 16 748; 15 174;; 9 242; 5 292; 3 950; 22 680;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Azerbaycan-Azerbaijan; 23 245; 11 133; 12 112;; 13 804; 8 274; 5 530; 9 441;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Özbekistan-Uzbekistan; 15 231; 5 196; 10 035;; 13 171; 4 363; 8 808; 2 060;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rusya Federasyonu-Russian Federation; 13 782; 5 200; 8 582;; 4 435; 1 417; 3 018; 9 347;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mısır-Egypt; 13 515; 8 813; 4 702;; 1 903; 1 237;  666; 11 612;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kırgızistan-Kyrgyzstan; 9 131; 2 736; 6 395;; 7 747; 2 261; 5 486; 1 384;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Almanya-Germany; 8 893; 4 382; 4 511;; 5 531; 2 603; 2 928; 3 362;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yemen-Yemen; 8 582; 5 561; 3 021;;  788;  534;  254; 7 794;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filistin-Palestine; 8 551; 5 315; 3 236;; 1 286;  857;  429; 7 265;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ürdün-Jordan; 7 963; 5 005; 2 958;; 1 300;  886;  414; 6 663;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kazakistan-Kazakhstan; 7 395; 3 021; 4 374;; 2 453;  886; 1 567; 4 942;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Libya-Libya; 7 357; 4 463; 2 894;; 3 875; 2 285; 1 590; 3 482;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ukrayna-Ukraine; 5 905; 1 220; 4 685;; 5 241; 1 215; 4 026;  664;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gürcistan-Georgia; 5 560; 1 306; 4 254;; 8 616; 2 404; 6 212;- 3 056;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çin-China; 5 105; 3 276; 1 829;; 4 871; 3 635; 1 236;  234;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Somali-Somalia; 4 534; 2 281; 2 253;;  600;  372;  228; 3 934;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fas-Morocco; 4 398; 1 018; 3 380;; 1 424;  367; 1 057; 2 974;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cezayir-Algeria; 2 977; 1 466; 1 511;;  695;  374;  321; 2 282;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Birle_ik Krallık-United Kingdom; 2 906; 1 514; 1 392;; 1 746;  907;  839; 1 160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pakistan-Pakistan; 2 680; 1 901;  779;; 1 068;  789;  279; 1 612;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Amerika Birle_ik Devletleri
United States"; 2 386; 1 191; 1 195;; 1 826; 1 010;  816;  560;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nepal-Nepal; 2 340; 1 967;  373;; 1 029;  784;  245; 1 311;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Endonezya-Indonesia; 2 142;  643; 1 499;; 1 488;  313; 1 175;  654;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suudi Arabistan-Saudi Arabia; 1 745; 1 096;  649;;  714;  453;  261; 1 031;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Moldova-Moldova; 1 694;  362; 1 332;; 2 265;  555; 1 710;-  571;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Avusturya-Austria; 1 661;  892;  769;;  663;  355;  308;  998;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bulgaristan-Bulgaria; 1 602;  500; 1 102;; 1 295;  468;  827;  307;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tacikistan-Tajikistan; 1 595;  832;  763;; 1 110;  665;  445;  485;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lübnan-Lebanon; 1 485;  824;  661;;  367;  220;  147; 1 118;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nijerya-Nigeria; 1 483; 1 191;  292;;  958;  767;  191;  525;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hindistan-India; 1 212; 1 029;  183;; 2 572; 2 417;  155;- 1 360;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tunus-Tunisia; 1 132;  410;  722;;  516;  265;  251;  616;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yunanistan-Greece; 1 074;  544;  530;;  834;  428;  406;  240;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filipinler-Philippines; 1 023;  119;  904;;  845;  105;  740;  178;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hollanda-Netherlands;  983;  520;  463;;  684;  331;  353;  299;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sudan-Sudan;  972;  562;  410;;  420;  239;  181;  552;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Güney Kore-South Korea;  956;  500;  456;;  801;  452;  349;  155;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fransa-France;  892;  448;  444;;  948;  510;  438;-  56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Senegal-Senegal;  869;  749;  120;;  195;  143;  52;  674;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kuveyt-Kuwait;  833;  555;  278;;  124;  83;  41;  709;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Arnavutluk-Albania;  799;  319;  480;;  641;  369;  272;  158;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_sveç-Sweden;  770;  423;  347;;  380;  167;  213;  390;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Etiyopya-Ethiopia;  712;  279;  433;;  417;  157;  260;  295;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belarus-Belarus;  673;  86;  587;;  392;  49;  343;  281;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kanada-Canada;  591;  307;  284;;  323;  168;  155;  268;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mo_olistan-Mongolia;  546;  243;  303;;  502;  217;  285;  44;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Romanya-Romania;  535;  179;  356;;  547;  259;  288;-  12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kosova-Kosovo;  527;  249;  278;;  371;  193;  178;  156;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Makedonya-Macedonia;  516;  206;  310;;  328;  183;  145;  188;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Danimarka-Denmark;  511;  281;  230;;  332;  165;  167;  179;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Norveç-Norway;  504;  222;  282;;  208;  91;  117;  296;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_talya-Italy;  474;  282;  192;;  774;  566;  208;-  300;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cibuti-Djibouti;  467;  309;  158;;  92;  35;  57;  375;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Malezya-Malaysia;  420;  237;  183;;  242;  138;  104;  178;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tayland-Thailand;  420;  78;  342;;  434;  63;  371;-  14;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Eritre-Eritrea;  399;  237;  162;;  82;  40;  42;  317;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Banglade_-Bangladesh;  387;  293;  94;;  163;  123;  40;  224;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ermenistan-Armenia;  377;  88;  289;;  536;  162;  374;-  159;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bosna Hersek-Bosnia and Herzegovina;  373;  160;  213;;  197;  84;  113;  176;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Polonya-Poland;  344;  130;  214;;  295;  97;  198;  49;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Japonya-Japan;  344;  177;  167;;  383;  191;  192;-  39;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Brezilya-Brazil;  342;  146;  196;;  358;  172;  186;-  16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çad-Chad;  337;  275;  62;;  60;  44;  16;  277;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kamerun-Cameroon;  329;  225;  104;;  255;  175;  80;  74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_spanya-Spain;  327;  192;  135;;  562;  381;  181;-  235;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gana-Ghana;  317;  269;  48;;  342;  299;  43;-  25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belçika-Belgium;  296;  147;  149;;  274;  153;  121;  22;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_srail-Israel;  295;  150;  145;;  66;  45;  21;  229;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Güney Afrika Cumhuriyeti
Republic of South Africa";  291;  175;  116;;  204;  124;  80;  87;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sırbistan-Serbia;  290;  110;  180;;  249;  119;  130;  41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Katar-Qatar;  264;  220;  44;;  39;  26;  13;  225;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Moritanya-Mauritania;  243;  175;  68;;  74;  65;  9;  169;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Avustralya-Australia;  243;  138;  105;;  195;  106;  89;  48;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Finlandiya-Finland;  243;  113;  130;;  199;  78;  121;  44;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Kuzey Kıbrıs Türk Cumhuriyeti
Turkish Republic Of North Cyprus";  242;  118;  124;;  62;  32;  30;  180;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Uganda-Uganda;  236;  116;  120;;  257;  139;  118;-  21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kenya-Kenya;  189;  112;  77;;  112;  68;  44;  77;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kolombiya-Colombia;  185;  79;  106;;  151;  65;  86;  34;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_rlanda-Ireland;  184;  98;  86;;  113;  56;  57;  71;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Küba-Cuba;  175;  54;  121;;  345;  130;  215;-  170;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Kongo Demokratik Cumhuriyeti
Democratic Republic of the Congo";  169;  98;  71;;  161;  96;  65;  8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_sviçre-Switzerland;  168;  79;  89;;  113;  59;  54;  55;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mali-Mali;  160;  124;  36;;  113;  74;  39;  47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gine-Guinea;  160;  129;  31;;  136;  116;  20;  24;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Litvanya-Lithuania;  140;  34;  106;;  115;  29;  86;  25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tanzanya-Tanzania;  134;  72;  62;;  95;  71;  24;  39;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çekya-Czechia;  134;  63;  71;;  175;  78;  97;-  41;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gambiya-Gambia;  132;  107;  25;;  68;  58;  10;  64;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bahreyn-Bahrain;  128;  74;  54;;  52;  27;  25;  76;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Meksika-Mexico;  124;  52;  72;;  94;  50;  44;  30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Macaristan-Hungary;  119;  55;  64;;  122;  45;  77;-  3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Portekiz-Portugal;  115;  74;  41;;  95;  66;  29;  20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fildi_i Sahili-Ivory Coast;  110;  85;  25;;  82;  45;  37;  28;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Burkina Faso-Burkina Faso;  109;  95;  14;;  70;  56;  14;  39;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Di_er ülkeler-Other countries; 2 248; 1 243; 1 005;; 1 881; 1 198;  683;  367;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vatansız-Stateless;  94;  57;  37;;  42;  28;  14;  52;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bilinmeyen-Unknown;  14;  9;  5;;  66;  42;  24;-  52;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017;Toplam-Total; 466 333; 244 083; 222 250;; 253 640; 136 870; 116 770; 212 693;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Türk vatanda_ları
Turkish citizens"; 101 772; 59 360; 42 412;; 113 326; 66 400; 46 926;- 11 554;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yabancı uyruklular-Foreign nationals; 364 561; 184 723; 179 838;; 140 314; 70 470; 69 844; 224 247;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Irak-Iraq; 97 054; 51 174; 45 880;; 28 645; 16 095; 12 550; 68 409;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Afganistan-Afghanistan; 37 747; 22 342; 15 405;; 6 413; 3 620; 2 793; 31 334;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suriye-Syria; 28 189; 17 613; 10 576;; 9 382; 5 808; 3 574; 18 807;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Azerbaycan-Azerbaijan; 20 865; 10 736; 10 129;; 10 555; 5 769; 4 786; 10 310;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Türkmenistan-Turkmenistan; 20 317; 8 093; 12 224;; 4 001; 1 595; 2 406; 16 316;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Özbekistan-Uzbekistan; 17 871; 5 663; 12 208;; 5 528; 1 794; 3 734; 12 343;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_ran-Iran; 17 794; 9 471; 8 323;; 5 065; 2 710; 2 355; 12 729;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kırgızistan-Kyrgyzstan; 8 982; 2 529; 6 453;; 4 596; 1 340; 3 256; 4 386;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mısır-Egypt; 8 582; 5 432; 3 150;; 1 250;  776;  474; 7 332;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Almanya-Germany; 8 440; 4 028; 4 412;; 4 047; 1 901; 2 146; 4 393;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gürcistan-Georgia; 8 373; 2 486; 5 887;; 4 569; 1 106; 3 463; 3 804;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Rusya Federasyonu-Russian Federation; 7 311; 2 370; 4 941;; 5 767; 2 045; 3 722; 1 544;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ukrayna-Ukraine; 6 303; 1 417; 4 886;; 3 987;  879; 3 108; 2 316;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Libya-Libya; 6 029; 3 815; 2 214;; 3 032; 1 876; 1 156; 2 997;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çin-China; 5 189; 3 619; 1 570;; 6 322; 4 324; 1 998;- 1 133;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filistin-Palestine; 4 817; 2 938; 1 879;;  650;  444;  206; 4 167;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kazakistan-Kazakhstan; 4 318; 1 684; 2 634;; 3 604; 1 529; 2 075;  714;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yemen-Yemen; 3 726; 2 547; 1 179;;  528;  357;  171; 3 198;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ürdün-Jordan; 2 930; 1 812; 1 118;;  959;  734;  225; 1 971;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fas-Morocco; 2 556;  472; 2 084;;  903;  211;  692; 1 653;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Moldova-Moldova; 2 517;  565; 1 952;; 1 496;  333; 1 163; 1 021;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hindistan-India; 2 210; 2 046;  164;;  671;  536;  135; 1 539;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Amerika Birle_ik Devletleri
United States"; 1 969; 1 039;  930;; 2 009; 1 040;  969;-  40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Birle_ik Krallık-United Kingdom; 1 819;  917;  902;; 2 293; 1 101; 1 192;-  474;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nijerya-Nigeria; 1 734; 1 460;  274;;  614;  496;  118; 1 120;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tacikistan-Tajikistan; 1 616;  874;  742;;  501;  290;  211; 1 115;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Endonezya-Indonesia; 1 591;  394; 1 197;;  715;  205;  510;  876;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Suudi Arabistan-Saudi Arabia; 1 538;  978;  560;;  370;  256;  114; 1 168;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cezayir-Algeria; 1 478;  689;  789;;  381;  192;  189; 1 097;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Avusturya-Austria; 1 472;  794;  678;;  446;  244;  202; 1 026;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Pakistan-Pakistan; 1 468; 1 021;  447;;  627;  438;  189;  841;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Somali-Somalia; 1 452;  817;  635;;  609;  367;  242;  843;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bulgaristan-Bulgaria; 1 391;  413;  978;; 1 520;  555;  965;-  129;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nepal-Nepal; 1 228;  894;  334;;  239;  151;  88;  989;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filipinler-Philippines; 1 224;  90; 1 134;;  488;  77;  411;  736;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Arnavutluk-Albania; 1 119;  570;  549;;  446;  243;  203;  673;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tunus-Tunisia;  810;  307;  503;;  275;  112;  163;  535;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fransa-France;  789;  417;  372;;  873;  462;  411;-  84;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Lübnan-Lebanon;  778;  433;  345;;  291;  192;  99;  487;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Güney Kore-South Korea;  756;  401;  355;;  794;  420;  374;-  38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hollanda-Netherlands;  727;  381;  346;;  783;  410;  373;-  56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Ermenistan-Armenia;  684;  191;  493;;  255;  74;  181;  429;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sudan-Sudan;  656;  388;  268;;  188;  99;  89;  468;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Yunanistan-Greece;  641;  314;  327;; 1 710;  897;  813;- 1 069;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belarus-Belarus;  609;  51;  558;;  323;  44;  279;  286;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Romanya-Romania;  553;  226;  327;;  409;  176;  233;  144;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Etiyopya-Ethiopia;  551;  204;  347;;  311;  121;  190;  240;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mo_olistan-Mongolia;  546;  202;  344;;  346;  156;  190;  200;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gana-Ghana;  477;  397;  80;;  161;  133;  28;  316;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_talya-Italy;  462;  337;  125;;  708;  501;  207;-  246;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kanada-Canada;  454;  243;  211;;  300;  136;  164;  154;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tayland-Thailand;  446;  90;  356;;  271;  78;  193;  175;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Makedonya-Macedonia;  393;  171;  222;;  343;  174;  169;  50;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_sveç-Sweden;  391;  200;  191;;  326;  156;  170;  65;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Brezilya-Brazil;  373;  174;  199;;  281;  125;  156;  92;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kuveyt-Kuwait;  369;  251;  118;;  122;  83;  39;  247;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Uganda-Uganda;  361;  193;  168;;  86;  46;  40;  275;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kosova-Kosovo;  352;  154;  198;;  352;  175;  177;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Japonya-Japan;  344;  195;  149;;  426;  199;  227;-  82;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Danimarka-Denmark;  343;  195;  148;;  283;  151;  132;  60;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Norveç-Norway;  309;  148;  161;;  280;  127;  153;  29;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_spanya-Spain;  304;  189;  115;;  426;  256;  170;-  122;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kamerun-Cameroon;  280;  177;  103;;  183;  125;  58;  97;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Malezya-Malaysia;  279;  145;  134;;  109;  57;  52;  170;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Banglade_-Bangladesh;  273;  218;  55;;  113;  86;  27;  160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gine-Guinea;  255;  226;  29;;  45;  34;  11;  210;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Polonya-Poland;  251;  68;  183;;  249;  104;  145;  2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Kuzey Kıbrıs Türk Cumhuriyeti
Turkish Republic of North Cyprus";  249;  121;  128;;  110;  52;  58;  139;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Senegal-Senegal;  249;  199;  50;;  137;  87;  50;  112;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Belçika-Belgium;  247;  140;  107;;  274;  129;  145;-  27;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Bosna Hersek-Bosnia and Herzegovina;  242;  90;  152;;  202;  99;  103;  40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Vietnam-Vietnam;  238;  218;  20;;  386;  373;  13;-  148;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sırbistan-Serbia;  229;  94;  135;;  271;  147;  124;-  42;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Güney Afrika Cumhuriyeti
Republic of South Africa";  229;  144;  85;;  137;  83;  54;  92;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Küba-Cuba;  192;  69;  123;;  176;  30;  146;  16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Finlandiya-Finland;  186;  64;  122;;  152;  63;  89;  34;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Eritre-Eritrea;  181;  105;  76;;  21;  14;  7;  160;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Avustralya-Australia;  180;  96;  84;;  220;  106;  114;-  40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"Kongo Demokratik Cumhuriyeti
Democratic Republic of the Congo";  172;  109;  63;;  59;  32;  27;  113;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Kolombiya-Colombia;  157;  63;  94;;  110;  48;  62;  47;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Cibuti-Djibouti;  153;  86;  67;;  76;  52;  24;  77;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_srail-Israel;  153;  91;  62;;  53;  26;  27;  100;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Litvanya-Lithuania;  126;  24;  102;;  105;  29;  76;  21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;_sviçre-Switzerland;  118;  49;  69;;  122;  60;  62;-  4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çad-Chad;  112;  91;  21;;  45;  35;  10;  67;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Çekya-Czechia;  109;  44;  65;;  185;  104;  81;-  76;;;;;;;;;;;;;;;;;;;;;;;;;;;;
